Id,Source,PassageName,QuestionId,QuestionText,QuestionDifficulty
44,worksheet,baskervilles,2,Where did James Mortimer leave the stick?,1
45,worksheet,baskervilles,3,What was it that Watson thought Sherlock could not see him doing?,2
46,worksheet,baskervilles,4,Which one of these statements are true?,3
47,worksheet,baskervilles,5,"Since we have been so unfortunate as to miss him and have no notion of his errand, this accidental souvenir becomes of importance. What does Sherlock mean when he says this?",3
48,worksheet,baskervilles,6,"following as far as I could the methods of my companion, What does this suggest?",2
49,worksheet,baskervilles,7,"Having read the text fully, which of these statements is true about why Sherlock says Good! and Excellent! when he is listening to Watsons guesses?",4
50,worksheet,baskervilles,8,What makes Watson believe the stick to belongs to someone who works in the country?,2
51,worksheet,baskervilles,9,"It may be that you are not yourself luminous, but you are a conductor of light. Some people without possessing genius have a remarkable power of stimulating it. I confess, my dear fellow, that I am very much in your debt. What does this suggest about Sher",3
52,worksheet,baskervilles,10,What was Sherlock indifferent towards?,3
53,worksheet,baskervilles,11,Which word best describes how the stick makes Sherlock feel?,1
54,worksheet,baskervilles,12,Why does Watson have a feeling of self-importance?,3
55,worksheet,baskervilles,13,Which one of these statements are True?,2
56,worksheet,baskervilles,14,What reason does Sherlock suggest that Dr. Mortimer was presented with the stick?,2
57,worksheet,baskervilles,15,Why could the Dr. not have been on the staff at the hospital?,4
58,worksheet,baskervilles,16,Which word best replaces the word errand?,1
59,worksheet,baskervilles,17,What does deduction mean?,2
60,worksheet,baskervilles,18,What does erroneous mean?,2
61,worksheet,black beauty,1,What information is suggested from reading the first paragraph?,2
62,worksheet,black beauty,2,What is not mentioned as a reason why the narrator considers themselves handsome?,3
63,worksheet,black beauty,3,Why was the narrator not sold until they were four years old?,2
64,worksheet,black beauty,4,What was the purpose of Squire Gordon examining the narrator?,3
65,worksheet,black beauty,5,Why did the master want to break in the narrator?,2
66,worksheet,black beauty,6,Which one definition best describes what breaking in means?,4
67,worksheet,black beauty,7,What pair of items or tasks were not mentioned as training for breaking in?,3
68,worksheet,black beauty,8,What was the narrator already used to as a colt?,1
69,worksheet,black beauty,9,How did the master get the narrator to wear the bit and bridle?,3
70,worksheet,black beauty,10,What does till I began to look for the oats and the saddle (line 40-41) suggest about the narrator?,4
71,worksheet,black beauty,11,Which one option best describes the relationship between the master and the narrator?,4
72,worksheet,black beauty,12,How did the narrator feel about carrying his master around?,4
73,worksheet,black beauty,13,"What do you think about breaking in horses, as it as been described in Black Beauty?",5
74,worksheet,brazilian,1,What adventure did Theodore Roosevelt decide to take on after losing his bid for the United States Presidency?,2
75,worksheet,brazilian,2,Who is Father Zahm and what is his relationship with Theodore Roosevelt?,3
76,worksheet,brazilian,3,Where did Father Zahm propose Theodore Roosevelt go after his presidency?,3
77,worksheet,brazilian,4,Where did Theodore initially want to go instead of South America?,2
78,worksheet,brazilian,5,What was Theodore's plan after receiving invitations from Argentina and Brazil?,4
79,worksheet,brazilian,6,Why did Theodore contact the American Museum of Natural History prior to his trip?,5
80,worksheet,brazilian,7,What was the original purpose of Father Zahm's visit to Frank Chapman at the museum?,4
81,worksheet,brazilian,8,What was the reaction of the museum authorities when they found out about Theodore's trip?,3
82,worksheet,brazilian,9,What particular area of the journey intrigued the museum authorities the most?,4
83,worksheet,brazilian,10,What role did the Natural History Museum agree to play in Theodore's trip?,5
84,worksheet,charlottes,1,At what time of day is this chapter set?,1
85,worksheet,charlottes,2,What season does this story occur in?,1
86,worksheet,charlottes,3,Which is the most likely reason Ferns mother chooses to say do away with it instead of kill it?,3
87,worksheet,charlottes,4,Why does Fern change her sneakers?,2
88,worksheet,charlottes,5,Why does John Arable look almost ready to cry?,3
89,worksheet,charlottes,6,What animal is bacon made from?,1
90,worksheet,charlottes,7,Was Fern certain her father would bring the pig back?,4
91,worksheet,charlottes,8,What does Ferns father think of his decision to let her have the pig?,3
92,worksheet,charlottes,9,What is meant by the word injustice (line 26)?,2
93,worksheet,charlottes,10,What is meant by the word untimely (line 42)?,2
94,worksheet,court life,1,What was the parrot first taught to say?,1
95,worksheet,court life,2,Why did the gentleman teach the parrot to say 'Viva la Republica!'?,2
96,worksheet,court life,3,What happened to the gentleman in charge of the parrot?,3
97,worksheet,court life,4,Who was the Queen that the parrot was initially supporting?,3
98,worksheet,court life,5,How did the author relate to the Queen and the King as mentioned in the story?,4
99,worksheet,court life,6,What does the author compare the royalty life to?,4
100,worksheet,court life,7,What was the author's perspective of the royal life?,5
101,worksheet,court life,8,What impact did the revolution of '68 have on the authors life and the parrot's life?,5
102,worksheet,dorian,1,In whose residence does this passage take place?,1
103,worksheet,dorian,2,Which of the following best describes Alans initial assessment of Dorian?,3
104,worksheet,dorian,3,To whom is it a matter of life and death?,4
105,worksheet,dorian,4,Why might the author have decided to use Dorians given name and not Alans?,5
106,worksheet,dorian,5,Which of the following words is closest in meaning to strained (line 8)?,2
107,worksheet,dorian,6,Why doesnt Dorian finish his sentence in line 11?,3
108,worksheet,dorian,7,How did Alan once feel about Dorians horrible secrets (line 14)?,3
109,worksheet,dorian,8,What is the favour Dorian wants from Alan?,1
110,worksheet,dorian,9,"Why does Dorian say, I was waiting for you to call me Dorian (line 21)?",4
111,worksheet,dorian,10,Alan suggests that he would not even raise a finger (line 22). This is an example of,4
112,worksheet,dorian,11,monstrous confession (line 23). What does the word monstrous tell us about Alans opinion of the confession?,2
113,worksheet,dorian,12,What is meant by peril (line 24)?,2
114,worksheet,dorian,13,"Why does Alan say, How dare you ask me, of all men in the world (lines 30)?",5
115,worksheet,dorian,14,"What does Alan think when Dorian tells him, It was suicide (line 26)?",3
116,worksheet,dorian,15,"Dorian says, Whatever my life is, he had more to do with the making or the marring of it than poor Harry has had. (lines 35-36) What does the word marring suggest about Lord Henry Wottons influence?",4
117,worksheet,dorian,16,Why is Alan certain that Dorian will be arrested?,4
118,worksheet,dorian,17,"What type of words are the following? intended (line 4), stir (line 10), decline (line 13), induce (line 33), hang (line 49)",1
119,worksheet,dorian,18,In lines 57-59 Dorian carefully writes down what he wants to say instead of speaking and then walks over to the window. Why does he choose to do this?,5
120,worksheet,dorian,19,"What type of words are the following? searching (line 4), infinite (line 7), mad (line 20), bowed (line 48), pale (line 61)",2
121,worksheet,dorian,20,What type of word is hollow (line 63)?,1
122,worksheet,dorian,21,"How many verbs can you count in the sentence beginning on line 64: After two or three minutes of terrible silence, ?",3
123,worksheet,dorian,22,Which word might equally convey the meaning of alternative (line 66)?,1
124,worksheet,dorian,23,"Dorian says, If you dont help me, I will send it. But you are going to help me. It is impossible for you to refuse now. I tried to spare you. (lines 68-69). What do these statements suggest?",4
125,worksheet,dorian,24,"Dorian tells many lies while trying to convince Alan to help him. Which of the following, from the information provided in the passage, are we certain is TRUE ?",5
126,worksheet,dorian,25,"Despite the grave situation, Dorian frequently makes witty remarks in the conversation. Which of the following is a display of wit?",3
127,worksheet,dorian,26,Which of the following is closest in meaning to dictate (line 71)?,2
128,worksheet,dreams of a giant life,1,How does the narrator look back?,2
129,worksheet,dreams of a giant life,2,What is the main feeling at the end of the first verse?,3
130,worksheet,dreams of a giant life,3,What does The equal waters of a lovely bay mean?,4
131,worksheet,dreams of a giant life,4,Which word would best replace placid?,2
132,worksheet,dreams of a giant life,5,What poetic technique has the poet used?,4
133,worksheet,dreams of a giant life,6,What is making the giant gleam?,3
134,worksheet,dreams of a giant life,7,"What does I saw below me all the water lie/Expecting something, and that thing was I mean?",5
135,worksheet,dreams of a giant life,8,Why does the poet separate I stood alone?,3
136,worksheet,dreams of a giant life,9,What time of the day is it in the poem?,2
137,worksheet,dreams of a giant life,10,"What writing technique is Pure, perfect and profound?",3
138,worksheet,dreams of a giant life,11,What would best replace the word 'wayfaring'?,4
139,worksheet,dreams of a giant life,12,What does the word 'perforate' mean?,2
140,worksheet,dreams of a giant life,13,What does the sentence And it dared the storms of fate mean?,4
141,worksheet,dreams of a giant life,14,What poetic technique is 'storms of fate'?,4
142,worksheet,dreams of a giant life,15,Why did the two boats sink?,3
143,worksheet,dreams of a giant life,16,Who was the voice of?,4
144,worksheet,dreams of a giant life,17,Which of these statements are true?,5
145,worksheet,dreams of a giant life,18,Which summary best describes the poem?,4
146,worksheet,economics,1,What does the term 'economics' mean?,1
147,worksheet,economics,2,What does 'economy' represent in terms of relationships?,2
148,worksheet,economics,3,What is the role of the Government in the economy?,3
149,worksheet,economics,4,"What do the households represent, and what are their responsibilities in the economy?",3
150,worksheet,economics,5,How do businesses contribute to the economy?,4
151,worksheet,economics,6,What is meant by 'fiscal policy'?,3
152,worksheet,economics,7,What is the Budget and who is responsible for its announcement?,3
153,worksheet,economics,8,Why is taxing important for the Government?,2
154,worksheet,economics,9,What influences the decision of a Household to either spend or save their money?,4
155,worksheet,economics,10,Why do countries cooperate with each other in terms of the economy?,5
156,worksheet,fauntleroy,1,Who gave a slip of paper to whom?,2
157,worksheet,fauntleroy,2,What is Cedric's new name?,1
158,worksheet,fauntleroy,3,What original name did Dick refer to Cedric as?,3
159,worksheet,fauntleroy,4,Who is Mr. Havisham?,2
160,worksheet,fauntleroy,5,How does Dick feel about Cedric leaving?,3
161,worksheet,fauntleroy,6,What gift did Cedric give to Mr. Hobbs?,2
162,worksheet,fauntleroy,7,What was inscribed in the gift from Cedric to Mr. Hobbs?,4
163,worksheet,fauntleroy,8,Who is expected to invite Mr. Hobbs to the Castle?,5
164,worksheet,fauntleroy,9,Why does Cedric's mom appear upset?,4
165,worksheet,fauntleroy,10,What is the final sentiment Cedric expresses about their old house?,3
166,worksheet,frankenstein,1,Which of these descriptions best describes the demands of the work?,3
167,worksheet,frankenstein,2,Which option best describes how the narrator feels about his work?,2
168,worksheet,frankenstein,3,Which of these statements are false?,4
169,worksheet,frankenstein,4,What does the narrator suggest was the biggest influence for continuing his work?,3
170,worksheet,frankenstein,5,Every night I was oppressed by a slow fever. What writing technique is this?,2
171,worksheet,frankenstein,6,Which of these statements are true?,4
172,worksheet,frankenstein,7,With an anxiety that almost amounted to agony. What does this line suggest?,2
173,worksheet,frankenstein,8,What clue suggests that the narrator had spent a long time in the evening working?,1
174,worksheet,frankenstein,9,The rain pattered dismally against the panes. What writing technique has the writer used here?,2
175,worksheet,frankenstein,10,What or who is the narrator describing as a catastrophe?,4
176,worksheet,frankenstein,11,"Read the description of the body from lines 21 to 31, what option best fits with the description?",3
177,worksheet,frankenstein,12,Why did the narrator deprive himself of health and rest?,3
178,worksheet,frankenstein,13,What happened as soon as the narrator achieved his goal?,2
179,worksheet,frankenstein,14,What genre would you say this is?,1
180,worksheet,frankenstein,15,Can you find evidence to help support your answer?,5
181,worksheet,frankenstein,16,How would you describe the narrator? (3 marks),4
182,worksheet,friendship,1,What does the author imply about the term 'friend' in the opening sentence?,2
183,worksheet,friendship,2,"According to the text, what should occur before a person is considered a friend?",3
184,worksheet,friendship,3,What issues does the author identify with trusting everybody or trusting nobody?,4
185,worksheet,friendship,4,Why does the author believe 'love of bustle' isn't the same as industry?,1
186,worksheet,friendship,5,"What does the author want to communicate with the phrase 'Some men shrink into dark corners, to such a degree that they see darkly by day'?",5
187,worksheet,friendship,6,What role does nature play in reconciling oppositions in the author's view?,3
188,worksheet,friendship,7,Why does the author suggest discussing problems with nature?,4
189,worksheet,friendship,8,"What does it mean to regard a friend as loyal, according to the author?",2
190,worksheet,friendship,9,How does the author suggest approaching a new friendship?,2
191,worksheet,friendship,10,"What are the dangers of revealing too much or too little, as per the author's advice?",4
192,worksheet,frost,1,What does 'The Frost' refer to in the text?,2
193,worksheet,frost,2,What does the sequence CCCC represent in the text?,3
194,worksheet,frost,3,What could be the meaning of the series of letters?,4
195,worksheet,frost,4,Can you guess what CACC might symbolise in the text?,3
196,worksheet,frost,5,What does ACAA in the sequence represent?,3
197,worksheet,frost,6,How many series of four letters are in the text?,2
198,worksheet,frost,7,Can you infer any pattern in the sequence of four letters?,4
199,worksheet,frost,8,Is there a sequence that repeats exactly in the text?,3
200,worksheet,frost,9,"What could be the significance of the closing statement '2 easy, 8 medium, 2 hard'?",4
201,worksheet,frost,10,Can you guess why the text is structured in this coded format?,5
202,worksheet,frost,11,What do you think of when you see the code CAC?,3
203,worksheet,frost,12,How do the series of four letters connect with 'The Frost'?,5
204,worksheet,gatsby,1,What kind of music was played at Gatsby's party?,2
205,worksheet,gatsby,2,How often did caterers come to Gatsby's house?,3
206,worksheet,gatsby,3,Describe the transportation to and from Gatsby's party?,4
207,worksheet,gatsby,4,How did most guests receive an invitation to Gatsby's party?,5
208,worksheet,gatsby,5,What was the author's experience with receiving an invitation?,3
209,worksheet,gatsby,6,What activities took place at Gatsby's party?,2
210,worksheet,gatsby,7,How does the author describe Gatsby's garden during the party?,3
211,worksheet,gatsby,8,What was the scene like inside Gatsby's house?,4
212,worksheet,gatsby,9,Who signed the author's invitation to Gatsby's party?,4
213,worksheet,gatsby,10,What is the overall mood of Gatsby's party?,3
214,worksheet,gatsby,11,By when did the orchestra arrive at Gatsby's party?,2
215,worksheet,gatsby,12,How does the author describe the interactions between guests?,4
216,worksheet,gatsby,13,"In the context of Gatsbys parties, what is the significance of the Rolls-Royce and the station wagon?",5
217,worksheet,gatsby,14,What can you infer about Gatsby from the way his parties were conducted?,5
218,worksheet,gatsby,15,What preparations were made the day after the parties?,2
219,worksheet,gibson,1,What is the aliens' weakness as mentioned in the passage?,1
220,worksheet,gibson,2,What colors do the aliens' eyes glow when they use their laser beams?,1
221,worksheet,gibson,3,What happens to the aliens after they have used their laser beam?,2
222,worksheet,gibson,4,What is the dagger of the miniature aliens used for apart from being a weapon?,3
223,worksheet,gibson,5,What role does the 'commander' alien play according to the passage?,3
224,worksheet,gibson,6,How does Gibson Skyler suggest delivering the saltwater to the aliens?,2
225,worksheet,gibson,7,What is the purpose of the saltwater fountain in the proposed fortress?,2
226,worksheet,gibson,8,Why does Gibson Skyler state it is vital to find a stronghold built from the sturdiest materials?,4
227,worksheet,gibson,9,What is the primary concern regarding the water pistol?,4
228,worksheet,gibson,10,What is the main purpose of Gibson Skyler writing this letter?,5
229,worksheet,growth,1,What are the names of the two individuals being compared in the passage?,1
230,worksheet,growth,2,What is the key difference between Greg and Frankle?,2
231,worksheet,growth,3,What do these two different mindsets sit on the opposite sides of?,2
232,worksheet,growth,4,Explain the reaction of Greg and Frankle when they failed the test?,3
233,worksheet,growth,5,How does the Growth Mindset perceive complex challenges?,3
234,worksheet,growth,6,What is the effect of the Fixed mindset on individuals?,3
235,worksheet,growth,7,How can cultivating a Growth mindset help Frankle?,4
236,worksheet,growth,8,"According to the passage, how can a Growth Mindset be cultivated?",4
237,worksheet,growth,9,What role does feedback play in promoting a Growth Mindset?,4
238,worksheet,growth,10,Highlight the importance of a Growth Mindset as stated in the passage?,5
239,worksheet,gulliver,1,What caused the crew to spot the rock late?,2
240,worksheet,gulliver,2,How did the narrator and the crew get away from their ship?,2
241,worksheet,gulliver,3,What do you think the phrase spent with labour (line 7) means?,3
242,worksheet,gulliver,4,What line in the first paragraph means they did nothing but wait and see?,4
243,worksheet,gulliver,5,Which of these statements is true?,3
244,worksheet,gulliver,6,What word would best replace the word abate (line 15) ?,3
245,worksheet,gulliver,7,What was the reason for the narrator not spotting any houses?,2
246,worksheet,gulliver,8,What was not mentioned as a reason for being so tired?,3
247,worksheet,gulliver,9,What word best replaces the word stir (line 24),2
248,worksheet,gulliver,10,Which one of these statements is true?,3
249,worksheet,gulliver,11,How tall were the tiny human creatures?,1
250,worksheet,gulliver,12,What season was it during the story?,1
251,worksheet,gulliver,13,How far did the crew row?,1
252,worksheet,gulliver,14,How far did the narrator walk in the water?,1
253,worksheet,honeybees,1,What is the role of honey bees in the ecosystem?,1
254,worksheet,honeybees,2,Who is the ruler of the hive?,2
255,worksheet,honeybees,3,What is the function of pollen for honey bees?,2
256,worksheet,honeybees,4,What differentiates the queen bee from other bees in the hive?,3
257,worksheet,honeybees,5,What are the roles of worker bees in the hive?,3
258,worksheet,honeybees,6,Why are drones considered auxiliary members of the colony?,2
259,worksheet,honeybees,7,What are some of the reasons why honey bee numbers have been decreasing over the years?,4
260,worksheet,honeybees,8,How can we help honey bees?,1
261,worksheet,honeybees,9,What is the lifespan of the queen bee?,2
262,worksheet,honeybees,10,What happens to the drones when they achieve their one goal of mating with the queen?,3
263,worksheet,honeybees,11,What purposes does the nectar serve for honey bees?,2
264,worksheet,honeybees,12,How can worker bees live longer than their usual six weeks lifespan?,5
265,worksheet,honeybees,13,What happens to drones during times of scarce food and high population?,4
266,worksheet,honeybees,14,What is the role of the queen's pheromones within the hive?,3
267,worksheet,honeybees,15,What kind of plants or herbs can you grow to help honey bees?,2
268,worksheet,honeybees,16,What are the consequences for plant species if honey bees go extinct?,4
269,worksheet,honeybees,17,What is the social structure of a bee colony?,2
270,worksheet,honeybees,18,What are 'bee pockets' used for?,3
271,worksheet,honeybees,19,What changes happen in the queen bee's egg production throughout the year?,4
272,worksheet,honeybees,20,How does the queen bee influence the mood and communication within the hive?,5
273,worksheet,huck,1,Which of the following is true,2
274,worksheet,huck,2,Who are the scoundrels?,2
275,worksheet,huck,3,Which of the following must be false?,3
276,worksheet,huck,4,How does Huck feel about having helped Jim get his freedom?,3
277,worksheet,huck,5,Why was Huck scared?,3
278,worksheet,huck,6,Which of the following is a reason why Huck thinks it isnt his fault that hes wicked?,4
279,worksheet,huck,7,What is the everlasting fire (line 30)?,1
280,worksheet,huck,8,Why did Huck shiver (line 31)?,2
281,worksheet,huck,9,Huck uses a lot of incorrect grammar. What is the correct past tense of kneeled down?,1
282,worksheet,huck,10,Why couldnt Huck pray?,4
283,worksheet,huck,11,What was Huck going to pray about?,4
284,worksheet,huck,12,How does Huck feel immediately after writing the letter?,3
285,worksheet,huck,13,Why did Huck start thinking after writing his letter?,4
286,worksheet,huck,14,What best describes Hucks opinion on slavery?,5
287,worksheet,huck,15,Which of the following best describes Huck and Jims relationship?,3
288,worksheet,i have a dream,1,What writing technique is used in the phrase It came as a joyous daybreak to end the long night of captivity (line 6-7)?,4
289,worksheet,i have a dream,2,How long has it been since slavery ended?,2
290,worksheet,i have a dream,3,What did the cheque (line 15) or note (line 17) promise to everyone?,3
291,worksheet,i have a dream,4,Where was the promise for equal rights written?,3
292,worksheet,i have a dream,5,Which of the following is true?,3
293,worksheet,i have a dream,6,Which of the following is a promise of democracy?,3
294,worksheet,i have a dream,7,When do the whirlwinds of revolt (line 45) mentioned in the speech occur?,4
295,worksheet,i have a dream,8,How does Martin Luther King want to gain justice?,4
296,worksheet,i have a dream,9,Who came to listen to the speech?,2
297,worksheet,i have a dream,10,Which of the following is not mentioned in the speech?,4
298,worksheet,i have a dream,11,Are black people allowed to vote in New York?,4
299,worksheet,i have a dream,12,Which state does Martin Luther King mention is especially racist?,1
300,worksheet,i have a dream,13,Why does Martin Luther King repeat the phrase I have a dream?,2
301,worksheet,i have a dream,14,What is Martin Luther Kings dream?,5
302,worksheet,i have a dream,15,Which is closest in meaning to being free (line 118)?,3
303,worksheet,jabberwocky,1,What is the Jabberwocky?,3
304,worksheet,jabberwocky,2,Who warns the son about the Jabberwock?,2
305,worksheet,jabberwocky,3,What does the son use to kill the Jabberwock?,2
306,worksheet,jabberwocky,4,How does the son feel after killing the Jabberwock?,4
307,worksheet,jabberwocky,5,What other creatures are mentioned in the poem besides the Jabberwock?,5
308,worksheet,jabberwocky,6,Where did the son rest before fighting the Jabberwock?,4
309,worksheet,jabberwocky,7,What is the mood of the poem?,3
310,worksheet,jabberwocky,8,How does the Jabberwock enter the scene?,3
311,worksheet,jabberwocky,9,Why is the poem called a nonsense poem?,1
312,worksheet,jabberwocky,10,What did the son do with the Jabberwock's head?,3
313,worksheet,JANE EYRE,1,What book is Jane reading?,1
314,worksheet,JANE EYRE,2,"Who are Lizzy, Georgy and Joan to Jane?",2
315,worksheet,JANE EYRE,3,How did Jane initially avoid detection?,2
316,worksheet,JANE EYRE,4,Why did Jane leave her hiding place?,2
317,worksheet,JANE EYRE,5,How does Jane interact with John?,3
318,worksheet,JANE EYRE,6,Why does Jane elaborate on John's bullying?,3
319,worksheet,JANE EYRE,7,What term best describes Jane's behavior?,2
320,worksheet,JANE EYRE,8,Why is John's bullying not stopped by others?,3
321,worksheet,JANE EYRE,9,What is Jane wondering just before John strikes?,3
322,worksheet,JANE EYRE,10,What item did John use to hit Jane?,4
323,worksheet,JANE EYRE,11,What does Jane say to John after he hits her?,3
324,worksheet,JANE EYRE,12,How would you describe Jane's perspective on John?,3
325,worksheet,JANE EYRE,13,Who is entitled to own the house?,1
326,worksheet,JANE EYRE,14,Where did Jane get hurt?,2
327,worksheet,JANE EYRE,15,What comparison had Jane silently made before announcing aloud?,4
328,worksheet,JANE EYRE,16,What caused Jane's terror to give way to other feelings?,3
329,worksheet,JANE EYRE,17,Why didn't Mrs. Reed punish John for his action?,4
330,worksheet,JANE EYRE,18,How is John's 'bellowed out aloud' described?,4
331,worksheet,JANE EYRE,19,How accustomed is Jane to being subservient to John?,3
332,worksheet,JANE EYRE,20,What word best describes John's book?,2
333,worksheet,JANE EYRE,21,How would you describe John's action when attacking?,4
334,worksheet,JANE EYRE,22,What animal is used as a metaphor for Jane?,4
335,worksheet,JANE EYRE,23,What best describes Jane's habitual obedience to John?,3
336,worksheet,JANE EYRE,24,Why wouldn't the servants intervene?,3
337,worksheet,JANE EYRE,25,What part of speech is 'Rat!'?,4
338,worksheet,JANE EYRE,26,Identify the adverbs in the paragraph describing the attack.,5
339,worksheet,JANE EYRE,27,What literary device is used in comparing John to Roman emperors?,5
340,worksheet,JANE EYRE,28,Identify the instance of onomatopoeia in the text.,5
341,worksheet,JANE EYRE,29,What is the descriptive word for the nature of John?,4
342,worksheet,jekyll,1,Who is the visitor that comes to retrieve the drawer?,1
343,worksheet,jekyll,2,What is the reaction of the visitor when he sees the contents of the drawer?,2
344,worksheet,jekyll,3,What colour does the compound turn after the visitor adds the powders to the red tincture?,3
345,worksheet,jekyll,4,How is Dr. Lanyon's emotions depicted throughout the passage?,4
346,worksheet,jekyll,5,Who was revealed to be the visitor after drinking the mixture?,2
347,worksheet,jekyll,6,What is the demeanor of the visitor when asking to take the glass and leave Dr. Lanyon's house?,3
348,worksheet,jekyll,7,Describe the transformation of the visitor after drinking from the glass.,5
349,worksheet,jekyll,8,Who was the visitor revealed to be the murderer of?,3
350,worksheet,jekyll,9,What emotion is Dr. Lanyon left with after the visitor's revelation?,4
351,worksheet,jekyll,10,What offer does the visitor present to Dr. Lanyon before revealing his identity?,3
352,worksheet,lion,1,Which description best fits the description of the house,2
353,worksheet,lion,2,Which of these options are false?,3
354,worksheet,lion,3,"In the text it says as everyone had expected that they would, what does this mean?",3
355,worksheet,lion,4,And then a whole series of rooms that led into each other. What does this mean?,2
356,worksheet,lion,5,- all except Lucy. Why do you think the author highlighted Lucy here?,2
357,worksheet,lion,6,Why did Lucy stay behind?,3
358,worksheet,lion,7,Which of these statements are true?,4
359,worksheet,lion,8,Which of these descriptions best suit Lucy,2
360,worksheet,lion,9,What is the effect caused when the writer states But she could feel it. on line XXX?,3
361,worksheet,little women,1,What is Pilgrims Progress (line 3)?,1
362,worksheet,little women,2,Why does the writer use the word scribbled (line 3)?,2
363,worksheet,little women,3,Why did the name catch Beths eye (line 4)?,2
364,worksheet,little women,4,Why was Beth sure tears had fallen on the little paper (line 4)?,1
365,worksheet,little women,5,What gift does the writer of the poem want (line 21)?,3
366,worksheet,little women,6,Who is the serene and saintly presence (line 13)?,2
367,worksheet,little women,7,Which writing techniques are used in prison-house of pain (line 26)?,4
368,worksheet,little women,8,What is meant by the path being green in the phrase made the path of duty/ Green beneath your willing feet. (lines 29-39)?,5
369,worksheet,little women,9,Which of the following best describes how the poem made Beth feel?,2
370,worksheet,little women,10,Why was Beths sister on the rug?,1
371,worksheet,little women,11,Who is Jo?,1
372,worksheet,little women,12,Who wrote the poem My Beth?,2
373,worksheet,little women,13,Which of the following is closest in meaning to feeble (line 51)?,3
374,worksheet,little women,14,What type of word is  comfort  (line 61)?,2
375,worksheet,little women,15,Which of the following lines of the poem tells Beth that she has helped Jo (line 61),5
376,worksheet,little women,16,What does Beth tell Jo to do?,3
377,worksheet,little women,17,When does Beth die?,2
378,worksheet,little women,18,Why is the fire out for the first time in many months (line 79)?,3
379,worksheet,lochinvar,1,What is the meaning of 'Lochinvar' in the passage?,2
380,worksheet,lochinvar,2,Who is the young Lochinvar described in the story?,3
381,worksheet,lochinvar,3,How does Lochinvar enter the Netherby Hall?,2
382,worksheet,lochinvar,4,What is the bride's reaction when Lochinvar drinks the wine?,3
383,worksheet,lochinvar,5,How can the Lochinvar's daring nature be described?,5
384,worksheet,lochinvar,6,What happened at the end of the poem?,4
